,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
138,13/05/2020,Audi,A3,1.6 TDI Sedan,2017.0,Dizel,Yarı Otomatik Vites,1601-1800 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,52000,210000
139,13/05/2020,Audi,A4,A4 Sedan 2.0 TDI Sport,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Füme ,Sedan,Galeriden,2. El,93000,329900
152,12/05/2020,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,195000,118500
154,09/05/2020,Audi,A4,2.0 Multitronic,2011.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Sahibinden,2. El,170000,152000
155,09/05/2020,Audi,A3,"1.0 TFSI Sportback
",2016.0,Benzin,Otomatik Vites,1300 cc ve altı,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,37000,156000
156,08/05/2020,Audi,A4,1.8 T,1998.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,126-150 BG,Lacivert ,Sedan,Sahibinden,2. El,384000,48500
157,05/05/2020,Audi,A3,1.6 TDI Ambiente,2015.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,46000,192750
158,01/05/2020,Audi,A5,A5 Sportback 2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,71000,289900
162,27/05/2020,BMW,5 Serisi,520d xDrive Pure,2018.0,Dizel,Otomatik Vites,1801-2000 cc,201-225 BG,Siyah ,Sedan,Galeriden,2. El,59854,594500
167,26/04/2020,Audi,Q3,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gümüş Gri ,Arazi Aracı,Sahibinden,2. El,159900,206500
169,23/04/2020,Audi,A4,2.5 TDI Avant,2003.0,Dizel,Otomatik Vites,2001-2500 cc,151-175 BG,Gri ,Station Wagon,Galeriden,2. El,264000,76500
175,22/04/2020,Audi,A6,A6 Sedan 2.0 TDI,2008.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Lacivert ,Sedan,Galeriden,2. El,295000,115000
