,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
84,Audi,A3,"1.6 TDI Ambition Sportback
",2015.0,Dizel,Otomatik Vites,1301,101,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,93000,193000
85,Audi,A3,1.6 FSI Sportback,2006.0,Benzin,Düz Vites,1301,101,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,220000,68500
86,Audi,A3,1.4 TFSI Attraction,2010.0,Benzin,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,68000,127000
87,Audi,100 Serisi,2.0,1993.0,Benzin/LPG,Otomatik Vites,1301,126,Siyah ,Sedan,Galeriden,2. El,330000,36500
88,Audi,A4,1.4 TFSI,2016.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Sedan,Galeriden,2. El,168000,242000
89,Audi,A4,A4 Sedan 2.0 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,55000,325000
90,Audi,A3,1.6 TDI Sedan,2017.0,Dizel,Yarı Otomatik Vites,1601,101,Siyah ,Sedan,Sahibinden,2. El,52000,210000
91,Audi,A4,A4 Sedan 2.0 TDI Sport,2016.0,Dizel,Yarı Otomatik Vites,1801,176,Füme ,Sedan,Galeriden,2. El,93000,329900
92,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,195000,118500
93,Audi,A4,2.0 Multitronic,2011.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Sahibinden,2. El,170000,152000
94,Audi,A3,"1.0 TFSI Sportback
",2016.0,Benzin,Otomatik Vites,1300,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,37000,156000
95,Audi,A4,1.8 T,1998.0,Benzin/LPG,Otomatik Vites,1601,126,Lacivert ,Sedan,Sahibinden,2. El,384000,48500
96,Audi,A3,1.6 TDI Ambiente,2015.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,46000,192750
97,Audi,A5,A5 Sportback 2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801,176,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,71000,289900
98,BMW,5 Serisi,520d xDrive Pure,2018.0,Dizel,Otomatik Vites,1801,201,Siyah ,Sedan,Galeriden,2. El,59854,594500
99,Audi,Q3,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,176,Gümüş Gri ,Arazi Aracı,Sahibinden,2. El,159900,206500
100,Audi,A4,2.5 TDI Avant,2003.0,Dizel,Otomatik Vites,2001,151,Gri ,Station Wagon,Galeriden,2. El,264000,76500
101,Audi,A6,A6 Sedan 2.0 TDI,2008.0,Dizel,Otomatik Vites,1801,126,Lacivert ,Sedan,Galeriden,2. El,295000,115000
102,Audi,A3,"1.6 TDI Sportback
",2016.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,52000,194500
103,Audi,A8,3.0 TDI Quattro Long,2012.0,Dizel,Otomatik Vites,1300,251,Siyah ,Sedan,Galeriden,2. El,194000,475000
104,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,220000,265000
105,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,179000,96000
106,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301,100,Beyaz ,Camlı Van,Galeriden,2. El,178535,63750
